,Article ID,Article Title,Coin Mentioned,Positive,Neutral,Negative
40,80.0,MetaWin Launches Moonbirds Tournament With 26ETH NFT Prize,eth,x,,
41,85.0,2022 eGovernance Platforms and Services Growth Opportunities Report – Smart City Initiatives Driving E-Governance – ResearchAndMarkets.com,uni,x,,
42,86.0,"Global Automotive Blockchain Market Report (2022 to 2027) – Industry Trends, Share, Size, Growth, Opportunity and Forecasts – ResearchAndMarkets.com","uni,xcn",,x,
43,90.0,Krista Software Adds Global Risk and Compliance (GRC) Private Blockchain Support with Rubix Through a New Strategic Partnership,xcn,x,,
44,91.0,"New to The Street TV Announces Five Business Interviews, Episode #364, Airing on the Fox Business Network, Tonight, Monday, July 11, 2022, at 10:30 PM PT",ht,,x,
45,92.0,BitNile Holdings Forms Ault Energy to Make Strategic Oil and Gas Acquisitions,bit,x,,
46,93.0,"RevoluGROUP Canada Inc. Corporate Update, Fifth Third Bank, Card Issuer, DFSA, DCE, RevoluPAYVideos.com","ada,eos",,x,
47,94.0,Bit Origin Ltd to Add Additional 700 Mining Spots Increasing Mining Power of 64 PH/s,bit,x,,
48,95.0,"Futures, Perpetual Contracts and Spot Trading Pairs: Now Available on BitMEX Mobile App",bit,x,,
49,96.0,Algorand Foundation Appoints John Woods as Chief Technology Officer,algo,,x,
